threshold,density,success,time_ms,selected,trial
0.25,0.15000000000000002,True,4.135370254516602,RRT*,16
0.25,0.15000000000000002,True,14.351606369018555,RRT*,17
0.25,0.15000000000000002,True,42.78087615966797,RRT*,18
0.25,0.15000000000000002,True,56.740760803222656,RRT*,19
0.25,0.15000000000000002,True,63.002586364746094,RRT*,20
0.25,0.15000000000000002,True,16.286373138427734,RRT*,21
0.25,0.15000000000000002,True,34.43431854248047,RRT*,22
0.25,0.15000000000000002,True,40.29488563537598,RRT*,23
0.25,0.15000000000000002,False,48.47836494445801,RRT*,24
0.25,0.15000000000000002,False,44.34490203857422,RRT*,25
0.25,0.15000000000000002,False,52.88505554199219,RRT*,26
0.25,0.15000000000000002,False,41.76831245422363,RRT*,27
0.25,0.15000000000000002,True,40.04025459289551,RRT*,28
0.25,0.15000000000000002,True,44.732093811035156,RRT*,29
0.25,0.15000000000000002,True,52.77729034423828,RRT*,30
0.25,0.15000000000000002,True,23.4377384185791,RRT*,31
0.25,0.15000000000000002,True,59.55219268798828,RRT*,32
0.25,0.15000000000000002,True,6.82830810546875,RRT*,33
0.25,0.15000000000000002,True,23.49543571472168,RRT*,34
0.25,0.15000000000000002,True,31.197071075439453,RRT*,35
0.25,0.15000000000000002,True,81.60781860351562,RRT*,36
0.25,0.15000000000000002,True,15.294075012207031,RRT*,37
0.25,0.15000000000000002,True,22.627830505371094,RRT*,38
0.25,0.15000000000000002,True,64.72182273864746,RRT*,39
0.25,0.15000000000000002,True,12.39776611328125,RRT*,40
0.25,0.15000000000000002,True,10.837793350219727,RRT*,41
0.25,0.15000000000000002,True,13.373851776123047,RRT*,42
0.25,0.15000000000000002,True,52.67763137817383,RRT*,43
0.25,0.15000000000000002,True,188.66539001464844,RRT*,44
0.25,0.15000000000000002,True,31.386375427246094,RRT*,45
0.25,0.15000000000000002,True,141.7248249053955,RRT*,46
0.25,0.15000000000000002,True,63.703060150146484,RRT*,47
0.25,0.15000000000000002,True,3.9322376251220703,RRT*,48
0.25,0.15000000000000002,True,45.08519172668457,RRT*,49
0.25,0.20000000000000004,False,50.32467842102051,RRT*,0
0.25,0.20000000000000004,True,49.37458038330078,RRT*,1
0.25,0.20000000000000004,True,11.495351791381836,RRT*,2
0.25,0.20000000000000004,True,61.258554458618164,RRT*,3
0.25,0.20000000000000004,True,13.918161392211914,RRT*,4
