trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency,astar_decision_ms,bc_decision_ms,adaptive_decision_ms
53,dense,0.6389,False,1,1,1,0.8000,0.9142,0.9142,1.1660,0.7342,0.7207
54,dense,0.4611,False,1,1,1,0.7437,0.6995,0.6995,2.1221,1.3192,1.3181
55,sparse,0.3944,False,1,1,1,0.8936,0.9378,0.9378,0.4488,0.4172,0.4759
56,dense,0.4222,False,1,1,1,0.9106,1.4871,1.4871,1.2228,0.5284,0.5132
57,sparse,0.4000,False,1,1,1,0.8038,0.7782,0.7782,0.6198,0.5375,0.5284
58,very_dense,0.5972,False,1,1,1,0.6802,0.7519,0.7519,3.4688,1.7658,1.7604
59,very_dense,0.9167,False,1,1,1,0.8038,0.8646,0.8646,1.5796,0.9948,0.9844
60,very_dense,0.7750,False,1,1,1,0.7649,0.8416,0.8416,1.8372,1.1252,1.1211
61,very_dense,0.9889,False,1,1,1,0.8166,0.8556,0.8556,1.4259,0.9460,0.9384
62,dense,0.6306,False,1,0,0,0.8453,0.9221,0.9221,0.8639,0.4943,0.5353
63,very_dense,0.7000,False,1,0,0,0.8195,1.2681,1.2681,1.9432,0.5748,0.5714
64,dense,0.5972,False,1,1,1,0.8604,1.1004,1.1004,0.8750,0.6059,0.5996
65,sparse,0.4333,False,1,1,1,0.8803,0.9042,0.9042,0.4382,0.4187,0.4194
66,very_dense,0.9583,False,1,0,0,0.8846,0.6792,0.6792,1.1613,0.5768,0.5712
67,dense,0.6194,False,1,0,0,0.8545,1.2373,1.2373,1.0827,0.4850,0.4890
68,sparse,0.1778,True,1,1,1,0.8452,0.8846,0.8452,0.6114,0.5107,0.5971
69,dense,0.5083,False,1,1,1,0.8122,0.9984,0.9984,1.1223,0.6860,0.6861
70,very_dense,0.7389,False,1,1,1,0.8236,1.0741,1.0741,1.7021,0.9230,0.9136
71,sparse,0.1083,True,1,1,1,0.8222,1.2555,0.8222,0.5299,0.4093,0.5263
72,dense,0.7472,False,1,1,1,0.8143,0.9106,0.9106,1.3963,0.8852,0.8739
73,sparse,0.3611,False,1,1,1,0.8947,1.1757,1.1757,0.4616,0.4029,0.3996
74,very_dense,0.6667,False,1,1,1,0.7820,0.9956,0.9956,2.0551,0.9809,0.9773
75,dense,0.5972,False,1,1,1,0.8434,0.9901,0.9901,1.1206,0.6983,0.6880
76,sparse,0.4028,False,1,1,1,0.6171,0.6306,0.6306,1.1929,0.8157,0.8158
77,sparse,0.6194,False,1,1,1,0.8794,0.8772,0.8772,0.4664,0.4392,0.4400
78,dense,0.7889,False,1,1,1,0.8915,0.9943,0.9943,0.8385,0.6253,0.6192
79,very_dense,0.8806,False,1,1,1,0.8434,1.0639,1.0639,1.3201,0.8160,0.8088
80,very_dense,0.6722,False,1,1,1,0.6939,0.8138,0.8138,2.7556,1.3739,1.3623
81,dense,0.5417,False,1,1,1,0.6033,1.9664,1.9664,2.1449,0.4943,0.4916
82,sparse,0.3333,False,1,1,1,0.6994,0.8745,0.8745,0.9232,0.6001,0.5954
83,very_dense,0.8417,False,0,0,0,0.0619,0.3057,0.3057,4.6594,0.5878,0.5855
84,dense,0.7722,False,1,1,1,0.6590,0.6256,0.6256,2.8144,1.7024,1.6881
85,very_dense,0.7028,False,1,1,1,0.8747,0.9775,0.9775,1.3860,0.8637,0.8815
86,sparse,0.1611,True,1,1,1,0.7735,0.8851,0.7735,0.6680,0.5134,0.6606
87,sparse,0.4111,False,1,1,1,0.8172,0.8315,0.8315,0.5568,0.4778,0.4750
88,very_dense,0.7194,False,1,1,1,0.8414,1.0848,1.0848,1.2994,0.8377,0.7847
89,very_dense,0.5611,False,1,0,0,0.8754,1.0191,1.0191,0.9972,0.7145,0.7094
90,dense,0.6056,False,1,1,1,0.8335,1.8386,1.8386,1.2749,0.5997,0.5945
91,very_dense,0.6972,False,1,0,0,0.8681,1.0714,1.0714,1.0466,0.5702,0.5704
92,very_dense,0.7000,False,1,0,0,0.8572,1.2300,1.2300,1.3374,0.5722,0.5737
93,dense,0.6667,False,1,1,1,0.6382,0.8207,0.8207,2.0990,1.0936,1.0810
94,very_dense,0.6972,False,1,1,1,0.7318,0.6952,0.6952,2.5161,1.5630,1.5725
95,sparse,0.7028,False,1,1,1,0.8816,1.3560,1.3560,0.5247,0.4022,0.7403
96,sparse,0.5278,False,1,1,1,0.8671,0.9262,0.9262,0.4802,0.4270,0.4248
97,very_dense,0.6306,False,1,1,1,0.8601,1.0193,1.0193,1.1394,0.7207,0.7036
98,dense,0.4250,False,1,1,1,0.6519,0.6992,0.6992,3.3249,1.8378,1.8067
99,sparse,0.6389,False,1,1,1,0.8900,0.9016,0.9016,0.5023,0.4679,0.4498
100,very_dense,0.8750,False,0,0,0,0.2207,0.2108,0.2108,1.5343,0.5889,0.5821
101,sparse,0.4806,False,1,1,1,0.9318,0.9397,0.9397,0.4600,0.4253,0.4326
102,very_dense,0.9056,False,0,0,0,0.6583,0.5710,0.5710,0.8856,0.6077,0.6083
103,sparse,0.3778,False,1,1,1,0.8863,0.8735,0.8735,0.5115,0.4635,0.4547
104,very_dense,0.7056,False,1,0,0,0.8571,1.3170,1.3170,1.2409,0.5666,0.5629
105,very_dense,0.8694,False,0,0,0,0.1991,0.2624,0.2624,1.6428,0.5816,0.5825
106,very_dense,0.9083,False,1,0,0,0.9212,1.2797,1.2797,0.9829,0.5705,0.5678
107,dense,0.4333,False,1,1,1,0.6054,0.7334,0.7334,3.0476,1.8339,1.8046
108,dense,0.7361,False,1,1,1,0.8477,0.9162,0.9162,1.0446,0.7077,0.7020
109,very_dense,0.8722,False,0,0,0,0.1901,0.3744,0.3744,1.6813,0.5844,0.5809
110,sparse,0.5750,False,1,1,1,0.8996,0.9439,0.9439,0.4844,0.4404,0.4372
111,very_dense,0.7472,False,1,1,1,0.8477,0.9468,0.9468,1.1596,0.7765,0.7685
112,dense,0.7139,False,1,1,1,0.8145,0.8771,0.8771,1.2339,0.7935,0.7919
