scenario,task,density,trial,start,goal,rrt_success,rrt_time,ppo_success,ppo_time,adaptive_success,adaptive_time,adaptive_selected,threshold
urban_intersection,North_South_Transit,0.25,15,"(100, 10)","(100, 190)",False,2010.7409954071045,True,15.217233625476288,False,2021.4433670043945,RRT*,0.3
urban_intersection,North_South_Transit,0.25,16,"(100, 10)","(100, 190)",False,2078.3908367156982,False,10.650844292030683,False,2057.577610015869,RRT*,0.3
urban_intersection,North_South_Transit,0.25,17,"(100, 10)","(100, 190)",False,2019.364833831787,True,9.669306585156862,False,2032.9968929290771,RRT*,0.3
urban_intersection,North_South_Transit,0.25,18,"(100, 10)","(100, 190)",False,2000.478744506836,True,18.827510693679578,False,2018.038272857666,RRT*,0.3
urban_intersection,North_South_Transit,0.25,19,"(100, 10)","(100, 190)",False,2006.3071250915527,False,14.523376730792227,False,2009.136438369751,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,0,"(30, 30)","(170, 170)",False,733.9327335357666,False,16.22900903136178,False,727.3356914520264,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,1,"(30, 30)","(170, 170)",False,703.357458114624,False,18.082475779344943,False,701.1203765869141,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,2,"(30, 30)","(170, 170)",False,937.969446182251,True,7.68135343215586,False,933.2888126373291,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,3,"(30, 30)","(170, 170)",False,866.5568828582764,False,15.511592686865004,False,901.9277095794678,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,4,"(30, 30)","(170, 170)",False,708.0562114715576,False,10.829038421312587,False,798.027515411377,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,5,"(30, 30)","(170, 170)",False,816.6103363037109,True,15.08581907567978,False,831.9885730743408,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,6,"(30, 30)","(170, 170)",False,816.8439865112305,False,18.06476212533912,False,764.026403427124,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,7,"(30, 30)","(170, 170)",False,731.1503887176514,False,13.418265528329485,False,827.3968696594238,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,8,"(30, 30)","(170, 170)",False,780.2443504333496,True,22.22800682859262,False,731.3127517700195,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,9,"(30, 30)","(170, 170)",False,777.4200439453125,False,9.323370868605554,False,734.1411113739014,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,10,"(30, 30)","(170, 170)",False,723.099946975708,True,17.52507683102485,False,727.1265983581543,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,11,"(30, 30)","(170, 170)",False,725.7304191589355,False,17.28615876026512,False,792.142391204834,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,12,"(30, 30)","(170, 170)",False,743.9415454864502,True,16.111811550984708,False,760.2918148040771,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,13,"(30, 30)","(170, 170)",False,730.4847240447998,False,15.772474368668872,False,739.4025325775146,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,14,"(30, 30)","(170, 170)",False,774.1484642028809,True,20.661719891596434,False,772.6898193359375,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,15,"(30, 30)","(170, 170)",False,742.0041561126709,False,17.11129189251735,False,729.694128036499,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,16,"(30, 30)","(170, 170)",False,739.2363548278809,True,15.420483915508859,False,805.9005737304688,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,17,"(30, 30)","(170, 170)",False,748.9240169525146,True,19.731325252790654,False,776.06201171875,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,18,"(30, 30)","(170, 170)",False,745.1212406158447,True,18.831028846807058,False,696.4459419250488,RRT*,0.3
urban_intersection,Diagonal_Navigation,0.25,19,"(30, 30)","(170, 170)",False,724.0333557128906,True,16.3174678000483,False,722.9235172271729,RRT*,0.3
highway_merge,Merge_Maneuver,0.35,0,"(140, 70)","(180, 100)",False,2003.4031867980957,False,8.844911782333293,True,10.141080887422058,PPO,0.3
highway_merge,Merge_Maneuver,0.35,1,"(140, 70)","(180, 100)",False,2001.2493133544922,True,15.90309449178828,True,14.98061563515559,PPO,0.3
highway_merge,Merge_Maneuver,0.35,2,"(140, 70)","(180, 100)",False,2008.2643032073975,True,11.040572280281976,True,8.625661887265396,PPO,0.3
highway_merge,Merge_Maneuver,0.35,3,"(140, 70)","(180, 100)",False,2006.7713260650635,True,7.103051833234667,True,8.892735690939555,PPO,0.3
highway_merge,Merge_Maneuver,0.35,4,"(140, 70)","(180, 100)",False,2003.8623809814453,True,10.36588410609473,True,11.383182286682958,PPO,0.3
highway_merge,Merge_Maneuver,0.35,5,"(140, 70)","(180, 100)",False,2000.554084777832,True,8.387660990154952,False,11.402664566284178,PPO,0.3
highway_merge,Merge_Maneuver,0.35,6,"(140, 70)","(180, 100)",False,2003.6263465881348,True,9.424876565977698,False,8.643871687742477,PPO,0.3
highway_merge,Merge_Maneuver,0.35,7,"(140, 70)","(180, 100)",False,2000.8673667907715,False,10.37029324650953,True,8.455600836404377,PPO,0.3
highway_merge,Merge_Maneuver,0.35,8,"(140, 70)","(180, 100)",False,2001.6961097717285,True,15.866578788437677,True,8.510485749372377,PPO,0.3
highway_merge,Merge_Maneuver,0.35,9,"(140, 70)","(180, 100)",False,2014.62721824646,True,11.852383546536249,True,8.621272007210875,PPO,0.3
highway_merge,Merge_Maneuver,0.35,10,"(140, 70)","(180, 100)",False,2005.1233768463135,True,11.707450149478928,True,12.556165449455323,PPO,0.3
highway_merge,Merge_Maneuver,0.35,11,"(140, 70)","(180, 100)",False,2008.547067642212,True,10.040356620784646,True,8.114891451090358,PPO,0.3
highway_merge,Merge_Maneuver,0.35,12,"(140, 70)","(180, 100)",False,2010.6558799743652,True,10.902438159964147,True,8.500376905656934,PPO,0.3
highway_merge,Merge_Maneuver,0.35,13,"(140, 70)","(180, 100)",False,2003.3745765686035,True,10.729455279546482,True,12.227690105936178,PPO,0.3
highway_merge,Merge_Maneuver,0.35,14,"(140, 70)","(180, 100)",False,2001.2173652648926,True,8.132757355558308,True,10.03513461974878,PPO,0.3
highway_merge,Merge_Maneuver,0.35,15,"(140, 70)","(180, 100)",False,2002.7523040771484,True,7.9392955423797735,True,10.44280308679684,PPO,0.3
highway_merge,Merge_Maneuver,0.35,16,"(140, 70)","(180, 100)",False,2001.894235610962,True,11.175600979362638,True,6.898893951555367,PPO,0.3
highway_merge,Merge_Maneuver,0.35,17,"(140, 70)","(180, 100)",False,2000.9803771972656,True,12.005266127587662,False,8.471528708948064,PPO,0.3
highway_merge,Merge_Maneuver,0.35,18,"(140, 70)","(180, 100)",False,2008.4846019744873,True,13.403070524105548,True,12.857776443652265,PPO,0.3
highway_merge,Merge_Maneuver,0.35,19,"(140, 70)","(180, 100)",False,2007.6420307159424,True,12.2933441881937,True,9.74497048055499,PPO,0.3
