n_agents,inter_collision,env_collision,deadlock,goal_rate,time_to_goal,strategy
1,False,False,False,1.0,14.0,sac
1,False,True,False,0.0,40.0,sac
1,False,True,False,0.0,40.0,sac
1,False,False,False,1.0,5.4,sac
1,False,False,False,1.0,9.600000000000001,sac
1,False,False,False,1.0,12.0,sac
1,False,False,False,1.0,8.4,sac
1,False,False,False,1.0,9.8,sac
1,False,False,False,1.0,6.0,sac
1,False,False,False,1.0,9.0,sac
1,False,False,False,1.0,3.2,sac
1,False,False,False,1.0,12.4,sac
2,False,False,False,1.0,5.800000000000001,sac
2,False,False,False,1.0,12.8,sac
2,False,True,False,0.5,15.4,sac
2,True,False,False,0.0,40.0,sac
2,True,False,False,0.5,9.4,sac
2,False,False,False,1.0,6.3,sac
2,True,False,False,0.0,40.0,sac
2,True,False,False,0.5,9.8,sac
2,False,False,False,1.0,11.700000000000001,sac
2,False,True,False,0.5,10.0,sac
2,True,False,False,0.0,40.0,sac
2,False,True,False,0.5,5.4,sac
2,False,False,False,1.0,7.600000000000001,sac
2,True,False,False,0.0,40.0,sac
2,False,False,False,1.0,9.3,sac
2,True,False,False,0.5,5.0,sac
2,True,False,False,0.5,5.4,sac
2,False,False,False,1.0,9.600000000000001,sac
2,True,False,False,0.5,3.2,sac
2,True,False,False,0.0,40.0,sac
3,True,False,False,0.6666666666666666,5.800000000000001,sac
3,False,False,False,1.0,11.6,sac
3,True,False,False,0.3333333333333333,15.4,sac
3,False,False,False,1.0,11.466666666666669,sac
3,True,False,False,0.3333333333333333,9.600000000000001,sac
3,False,True,False,0.6666666666666666,6.4,sac
3,True,False,False,0.3333333333333333,10.200000000000001,sac
3,True,False,False,0.6666666666666666,7.0,sac
3,True,False,False,0.6666666666666666,8.4,sac
3,False,True,False,0.6666666666666666,9.8,sac
3,True,False,False,0.0,40.0,sac
3,False,True,False,0.6666666666666666,7.300000000000001,sac
3,False,False,False,1.0,8.466666666666667,sac
3,False,False,False,1.0,9.0,sac
3,True,False,False,0.3333333333333333,8.4,sac
3,True,False,False,0.6666666666666666,4.0,sac
3,True,False,False,0.3333333333333333,5.4,sac
3,True,False,False,0.3333333333333333,9.0,sac
3,True,False,False,0.3333333333333333,3.2,sac
3,True,False,False,0.0,40.0,sac
4,True,False,False,0.5,5.7,sac
4,False,False,False,1.0,10.200000000000001,sac
4,True,False,False,0.5,12.5,sac
4,False,False,False,1.0,9.55,sac
4,True,False,False,0.5,8.7,sac
4,True,False,False,0.5,7.2,sac
4,True,False,False,0.25,5.800000000000001,sac
4,True,False,False,0.75,7.0,sac
4,True,False,False,0.75,14.333333333333334,sac
4,True,False,False,0.25,13.0,sac
4,True,False,False,0.25,11.200000000000001,sac
4,True,False,False,0.25,9.200000000000001,sac
4,False,False,False,1.0,7.5,sac
4,True,False,False,0.75,7.2,sac
4,True,False,False,0.5,6.9,sac
4,True,False,False,0.75,5.466666666666666,sac
4,True,False,False,0.25,5.4,sac
4,True,False,False,0.5,6.1,sac
4,True,False,False,0.5,8.7,sac
4,True,False,False,0.25,20.0,sac
6,True,False,False,0.3333333333333333,6.300000000000001,sac
6,True,False,False,0.6666666666666666,8.950000000000001,sac
6,True,False,False,0.16666666666666666,2.6,sac
6,True,False,False,0.6666666666666666,8.250000000000002,sac
6,True,False,False,0.6666666666666666,7.25,sac
6,True,False,False,0.3333333333333333,9.7,sac
6,True,False,False,0.5,7.666666666666667,sac
6,True,False,False,0.3333333333333333,7.1000000000000005,sac
6,True,False,False,0.16666666666666666,10.600000000000001,sac
6,True,False,False,0.3333333333333333,9.8,sac
6,True,False,False,0.3333333333333333,8.0,sac
6,True,False,False,0.3333333333333333,2.5,sac
6,True,False,False,0.8333333333333334,7.6800000000000015,sac
6,True,False,False,0.6666666666666666,4.4,sac
6,True,False,False,0.3333333333333333,5.2,sac
6,True,False,False,0.5,5.2,sac
6,True,False,False,0.16666666666666666,5.800000000000001,sac
6,True,False,False,0.16666666666666666,3.2,sac
6,True,False,False,0.5,4.8,sac
6,True,False,False,0.16666666666666666,12.4,sac
8,True,False,False,0.0,40.0,sac
8,True,False,False,0.5,7.55,sac
8,True,False,False,0.25,4.6000000000000005,sac
8,True,False,False,0.5,7.750000000000001,sac
8,True,False,False,0.75,7.166666666666667,sac
8,True,False,False,0.25,5.6,sac
8,True,False,False,0.375,7.533333333333334,sac
8,True,False,False,0.375,6.0,sac
8,True,False,False,0.25,10.400000000000002,sac
8,True,False,False,0.25,4.8,sac
8,True,False,False,0.25,13.3,sac
8,True,False,False,0.375,3.6666666666666665,sac
8,True,False,False,0.75,9.799999999999999,sac
8,True,False,False,0.625,4.44,sac
8,True,False,False,0.375,4.866666666666667,sac
8,True,False,False,0.5,4.75,sac
8,True,False,False,0.25,4.800000000000001,sac
8,True,False,False,0.25,4.300000000000001,sac
8,True,False,False,0.375,5.333333333333333,sac
8,True,False,False,0.375,8.866666666666667,sac
