trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency
93,dense,0.6667,False,1,1,1,0.6382,0.8207,0.8207
94,very_dense,0.6972,False,1,1,1,0.7318,0.6952,0.6952
95,sparse,0.7028,False,1,1,1,0.8816,1.3560,1.3560
96,sparse,0.5278,False,1,1,1,0.8671,0.9262,0.9262
97,very_dense,0.6306,False,1,1,1,0.8601,1.0193,1.0193
98,dense,0.4250,False,1,1,1,0.6519,0.6992,0.6992
99,sparse,0.6389,False,1,1,1,0.8900,0.9016,0.9016
100,very_dense,0.8750,False,0,0,0,0.2207,0.2108,0.2108
101,sparse,0.4806,False,1,1,1,0.9318,0.9397,0.9397
102,very_dense,0.9056,False,0,0,0,0.6583,0.5710,0.5710
103,sparse,0.3778,False,1,1,1,0.8863,0.8735,0.8735
104,very_dense,0.7056,False,1,0,0,0.8571,1.3170,1.3170
105,very_dense,0.8694,False,0,0,0,0.1991,0.2624,0.2624
106,very_dense,0.9083,False,1,0,0,0.9212,1.2797,1.2797
107,dense,0.4333,False,1,1,1,0.6054,0.7334,0.7334
108,dense,0.7361,False,1,1,1,0.8477,0.9162,0.9162
109,very_dense,0.8722,False,0,0,0,0.1901,0.3744,0.3744
110,sparse,0.5750,False,1,1,1,0.8996,0.9439,0.9439
111,very_dense,0.7472,False,1,1,1,0.8477,0.9468,0.9468
112,dense,0.7139,False,1,1,1,0.8145,0.8771,0.8771
113,dense,0.4306,False,1,1,1,0.8044,0.7980,0.7980
114,dense,0.6556,False,1,1,1,0.8658,1.0001,1.0001
115,dense,0.4694,False,1,1,1,0.8242,0.9263,0.9263
116,sparse,0.2361,True,1,1,1,0.8872,0.9142,0.8872
117,sparse,0.3389,False,1,1,1,0.8778,1.0179,1.0179
118,sparse,0.3028,False,1,1,1,0.8955,0.9082,0.9082
119,sparse,0.5639,False,1,1,1,0.8310,0.8613,0.8613
120,dense,0.6806,False,1,1,1,0.8404,1.0303,1.0303
121,very_dense,0.8500,False,1,1,1,0.8742,1.0154,1.0154
122,dense,0.6111,False,1,1,1,0.8203,0.9184,0.9184
123,dense,0.8111,False,1,1,1,0.7249,0.7847,0.7847
124,very_dense,0.8083,False,0,1,1,0.5777,0.1894,0.1894
