n_agents,time_ms,timeout
2,6.982835999224335,False
2,3.9327170088654384,False
2,4.931874995236285,False
2,1.8298459908692166,False
2,4.285363989765756,False
2,3.785655993851833,False
2,3.014793008333072,False
2,5.0106580019928515,False
2,8.770025000558235,False
2,1.6444450011476874,False
2,4.028146009659395,False
2,3.4349740017205477,False
2,5.380878006690182,False
2,1.2102570035494864,False
2,27.84241699555423,False
2,5.135540995979682,False
2,2.833766004187055,False
2,18.57168899732642,False
2,37.164382010814734,False
2,,True
3,108.00100899359677,False
3,6.131566988187842,False
3,3.5657490079756826,False
3,27.406147011788562,False
3,18.506587992305867,False
3,19.895777993951924,False
3,12.996121993637644,False
3,16.891024002688937,False
3,2.0363759977044538,False
3,17.77078499435447,False
3,6.823208997957408,False
3,11.480288987513632,False
3,8.634530997369438,False
3,14.39501099230256,False
3,4.0420400036964566,False
3,10.045586997875944,False
3,39.210896007716656,False
3,4.37527299800422,False
3,,True
3,,True
4,25.51821399538312,False
4,69.38548698963132,False
4,3.753900993615389,False
4,169.4335499923909,False
4,4.777094000019133,False
4,38.9508799999021,False
4,126.65314300102182,False
4,11.567520996322855,False
4,0.879733997862786,False
4,17.251133001991548,False
4,10.935066995443776,False
4,60.49045499821659,False
4,6.288755001151003,False
4,2.4942040035966784,False
4,32.605145999696106,False
4,15.51681999990251,False
4,,True
4,,True
4,,True
4,,True
5,94.29145499598235,False
5,31.164382002316415,False
5,152.402103994973,False
5,3.571396999177523,False
5,376.4390490105143,False
5,147.50373900460545,False
5,27.853113002493046,False
5,4.040437008370645,False
5,199.99222600017674,False
5,27.793929999461398,False
5,26.648658997146413,False
5,47.07907700503711,False
5,21.585382011835463,False
5,120.99055699945893,False
5,7.812695999746211,False
5,,True
5,,True
5,,True
5,,True
5,,True
6,78.28183600213379,False
6,61.47016400063876,False
6,274.4954079971649,False
6,1405.451863000053,False
6,80.92615599161945,False
6,24.189691001083702,False
6,111.17401999945287,False
6,5.185955000342801,False
6,27.23577398865018,False
6,626.6721560095903,False
6,58.241855003871024,False
6,74.37231299991254,False
6,87.50554099970032,False
6,23.484760007704608,False
6,765.6381359993247,False
6,765.4065620008623,False
6,126.19123701006174,False
6,77.28394199511968,False
6,,True
6,,True
7,1656.547236998449,False
7,60.37224200554192,False
7,2954.9418189999415,False
7,771.6436030023033,False
7,133.93303600605577,False
7,660.5753100011498,False
7,392.16405399201903,False
7,2209.005962999072,False
7,132.08238300285302,False
7,359.3465739977546,False
7,52.55483099608682,False
7,997.5096040143399,False
7,120.45419801142998,False
7,,True
7,,True
7,,True
7,,True
7,,True
7,,True
7,,True
8,81.80656800686847,False
8,299.9284149991581,False
8,353.3450600079959,False
8,218.78315400681458,False
8,286.3897619972704,False
8,19019.765756995184,False
8,6232.840847995249,False
8,85.25609999196604,False
8,145.04406400374137,False
8,94.20167299686,False
8,79.72263099509291,False
8,5779.66143800586,False
8,148.00970900978427,False
8,109.56120600167196,False
8,,True
8,,True
8,,True
8,,True
8,,True
8,,True
