tau,success_rate,regret_pct
0.1,0.8163888888888889,7.665724159597856
0.15000000000000002,0.8583333333333333,2.9217719132893545
0.20000000000000004,0.8788888888888887,0.5969211435752615
0.25000000000000006,0.8752777777777777,1.0053408733898903
0.30000000000000004,0.8583333333333334,2.9217719132893416
0.3500000000000001,0.8355555555555555,5.497957901350933
0.40000000000000013,0.8008333333333333,9.425070688030164
0.45000000000000007,0.7333333333333334,17.05937794533458
0.5000000000000001,0.6858333333333334,22.431668237511772
0.5500000000000002,0.6144444444444445,30.50581212692428
