threshold,target_density,actual_density,trial,success,planning_time_ms,selected_planner,path_length,start_x,start_y,goal_x,goal_y
0.25,0.1,0.0974,0,True,0.21266937255859375,rrt_star,3,25.601347650522158,55.31674316147846,24.033501524942885,61.8390101027158
0.25,0.1,0.0974,1,True,2.315998077392578,rrt_star,6,57.188524057948094,39.65297694182613,65.44877151715664,66.93842506186189
0.25,0.1,0.0974,2,True,66.03121757507324,rrt_star,13,45.18438075319961,67.42617555642313,61.24657770945839,11.362287046278729
0.25,0.1,0.0974,3,True,0.9467601776123047,rrt_star,5,45.4017352027559,38.034833759344174,22.95174469304748,25.894067506343834
0.25,0.1,0.0974,4,True,29.48164939880371,rrt_star,5,60.45521153927525,50.88651493029876,58.71940942971208,41.1145064104491
0.25,0.1,0.0974,5,True,2.044200897216797,rrt_star,6,31.843331365801422,68.29217107300514,13.139550027705235,41.140109756140376
0.25,0.1,0.0974,6,True,0.8332729339599609,rrt_star,9,93.7143614784848,56.50380582458184,65.19722778917651,78.12281732586834
0.25,0.1,0.0974,7,True,0.04100799560546875,rrt_star,3,31.08934305148428,35.773884867596216,32.22592388147897,37.10603021677046
0.25,0.1,0.0974,8,True,10.921478271484375,rrt_star,5,33.362565441926286,21.040228568307874,25.31451524666921,15.842440090489307
0.25,0.1,0.0974,9,True,3.8144588470458984,rrt_star,8,43.130821438076985,45.817956391655265,38.92142892261868,76.63752738420386
0.25,0.1,0.0974,10,True,0.2758502960205078,rrt_star,4,57.65593827831555,59.522924836263904,66.32437728863715,65.93648272229083
0.25,0.1,0.0974,11,True,22.523164749145508,rrt_star,17,87.53129613284875,71.35552022023785,9.924861260043707,27.053816921164113
0.25,0.1,0.0974,12,True,4.629850387573242,rrt_star,18,71.20000540155121,6.667281268496933,15.710784026210863,56.70852028279147
0.25,0.1,0.0974,13,True,18.62812042236328,rrt_star,10,26.307458902040935,41.365121252762364,22.835003111986033,89.41551424097987
0.25,0.1,0.0974,14,True,7.833003997802734,rrt_star,18,91.89106679955273,91.49134657117911,20.100779430751892,23.784535781470307
0.25,0.1,0.0974,15,True,131.211519241333,rrt_star,6,66.50195184356724,34.57905607795112,71.97394942251685,54.1857219406439
0.25,0.1,0.0974,16,True,0.7531642913818359,rrt_star,5,36.51822653588446,60.33887568133938,49.198315552735586,80.51429493992102
