grid_size,environment_complexity,trial,success,selected_planner,reported_time_ms,actual_time_ms,path_length,distance,normalized_distance,actual_density,planning_efficiency
50,2500,0,False,ppo,10.67879772820792,0.33680000342428684,0,14.09013544110398,0.2818027088220796,0.3012,2969.1211099551
50,2500,1,True,ppo,7.49562016562547,0.5002999678254128,16,29.724949110615455,0.5944989822123091,0.3108,1998.8008481123172
50,2500,2,True,ppo,8.017608395207004,0.22789998911321163,8,19.52311317757383,0.3904622635514766,0.3008,4387.889634796076
50,2500,3,False,ppo,7.824918345869911,0.07429998368024826,0,22.42967917163647,0.44859358343272937,0.302,13458.95315809925
50,2500,4,True,rrt_star,0.08893013000488281,0.10629999451339245,3,3.4878233844226925,0.06975646768845385,0.286,9407.338208978108
50,2500,5,True,ppo,9.872152639596226,0.26220001745969057,10,21.446074655613895,0.4289214931122779,0.3024,3813.882278454598
50,2500,6,False,rrt_star,52.67477035522461,52.69869999028742,0,20.336685611063107,0.40673371222126214,0.2776,18.97580016555065
50,2500,7,False,rrt_star,47.31464385986328,47.353000030852854,0,6.258045878352227,0.12516091756704453,0.2892,21.117986175077604
50,2500,8,True,ppo,5.200008845264647,0.3136999439448118,9,20.24922490586663,0.4049844981173326,0.3024,3187.7595750413225
50,2500,9,True,ppo,9.00186230447427,0.301100080832839,10,20.525821818740905,0.4105164363748181,0.3068,3321.1548706131616
50,2500,10,True,ppo,12.947790083009194,0.16140006482601166,7,20.994080825894734,0.4198816165178947,0.3064,6195.784376406505
50,2500,11,True,rrt_star,0.8244514465332031,0.8431999012827873,7,21.396404175756103,0.42792808351512207,0.2968,1185.9583931149275
50,2500,12,True,rrt_star,1.5976428985595703,1.6145999543368816,9,30.524442154840358,0.6104888430968072,0.2932,619.348462951432
50,2500,13,False,rrt_star,52.45232582092285,52.4730000179261,0,23.61185709460247,0.4722371418920494,0.2996,19.057419999969028
50,2500,14,True,ppo,6.286849544495357,0.31239993404597044,8,17.16388473054259,0.34327769461085184,0.3156,3201.0250035867402
100,10000,0,True,ppo,5.978154334433571,0.9302999824285507,35,75.78286258515408,0.7578286258515408,0.312,1074.9220884531214
100,10000,1,False,ppo,7.622892546724939,0.10279996786266565,0,22.05448781652076,0.2205448781652076,0.3053,9727.629500195348
100,10000,2,True,rrt_star,118.58415603637695,118.63380006980151,15,22.20186020204262,0.2220186020204262,0.2996,8.429300919397525
100,10000,3,True,rrt_star,26.519060134887695,26.57420001924038,5,13.241826004281695,0.13241826004281695,0.2963,37.63048367499211
100,10000,4,True,rrt_star,40.30203819274902,40.3634998947382,30,73.47712734657402,0.7347712734657402,0.2955,24.774858538229992
100,10000,5,True,rrt_star,22.202014923095703,22.270899964496493,6,18.04395751422593,0.1804395751422593,0.2959,44.90164302269624
100,10000,6,True,rrt_star,45.21059989929199,45.27640005107969,16,61.816157402252735,0.6181615740225274,0.2912,22.086561627510697
100,10000,7,True,rrt_star,141.8449878692627,141.93320006597787,10,33.8822773527639,0.338822773527639,0.2989,7.045567911772217
100,10000,8,True,rrt_star,112.85042762756348,112.92450001928955,19,48.15083626407802,0.48150836264078023,0.2955,8.855474231271176
100,10000,9,True,ppo,8.111582259282518,0.5481999833136797,17,40.97194762492943,0.4097194762492943,0.302,1824.151824951444
100,10000,10,True,rrt_star,6.625175476074219,6.658499944023788,9,35.4825803826618,0.354825803826618,0.2981,150.1839766323842
100,10000,11,True,ppo,8.675596573881935,0.38270000368356705,13,27.990148700264676,0.2799014870026468,0.3063,2613.0127786119474
100,10000,12,True,ppo,9.365690639254082,0.2919000107795,11,23.27241164450185,0.2327241164450185,0.3027,3425.830637448642
100,10000,13,True,ppo,8.619739293732906,0.13619998935610056,4,8.452868884917638,0.08452868884917639,0.3052,7342.144479802111
100,10000,14,True,rrt_star,135.58387756347656,135.71710011456162,33,76.96289117989664,0.7696289117989664,0.295,7.368268251796415
150,22500,0,False,rrt_star,58.48813056945801,58.62999998498708,0,113.00815292784279,0.7533876861856186,0.2988,17.056114621457652
150,22500,1,False,rrt_star,2000.4212856292725,2000.6619000341743,0,140.18585445800247,0.9345723630533498,0.2979111111111111,0.49983457973729517
150,22500,2,False,rrt_star,1931.4641952514648,1931.698300060816,0,52.68163854326714,0.3512109236217809,0.2982222222222222,0.5176791841502976
150,22500,3,False,rrt_star,60.82606315612793,60.90529996436089,0,29.50618044657838,0.19670786964385586,0.29777777777777775,16.418932352113135
150,22500,4,True,ppo,12.089709579416835,0.4762000171467662,15,33.953785349493984,0.22635856899662657,0.3051111111111111,2099.9579252257718
150,22500,5,True,rrt_star,2.512216567993164,2.5568000273779035,17,58.86205301845526,0.39241368678970173,0.2978222222222222,391.1138881774569
150,22500,6,False,rrt_star,2001.3542175292969,2001.5439999988303,0,103.69901961851716,0.691326797456781,0.29733333333333334,0.4996142977624196
150,22500,7,True,ppo,12.277201550159962,0.2571999793872237,6,17.09470545131801,0.11396470300878674,0.3021333333333333,3888.0251949572066
150,22500,8,True,ppo,8.615572246288066,0.16729999333620071,1,38.34578993510751,0.2556385995673834,0.3007111111111111,5977.286550098253
150,22500,9,True,ppo,10.438317175662364,0.1669999910518527,1,63.07811875554314,0.4205207917036209,0.30191111111111113,5988.024272944451
150,22500,10,True,ppo,9.767562697580024,0.2215000567957759,1,65.10935911113638,0.4340623940742426,0.30115555555555557,4514.671528603737
150,22500,11,True,ppo,18.66207957925863,0.17230003140866756,1,69.45807058370966,0.4630538038913977,0.30364444444444444,5803.829470165117
150,22500,12,True,ppo,17.5405347507204,0.2560000866651535,5,107.37607272495974,0.715840484833065,0.30115555555555557,3906.248677595151
150,22500,13,True,rrt_star,86.81845664978027,86.87979995738715,25,81.53982925300853,0.5435988616867236,0.2988,11.510155415763855
150,22500,14,False,rrt_star,53.28989028930664,53.362400038167834,0,61.72086924630478,0.4114724616420319,0.2975111111111111,18.739786802781413
200,40000,0,True,ppo,12.826846542614513,0.47880003694444895,8,109.71045120318507,0.5485522560159254,0.301,2088.5545589797466
200,40000,1,False,ppo,16.842553715086822,0.19869999960064888,0,97.67619409834366,0.4883809704917183,0.3025,5032.712642223551
200,40000,2,True,ppo,14.576998347192026,0.3003999590873718,6,64.65259818375465,0.32326299091877325,0.300925,3328.8952602991144
200,40000,3,False,rrt_star,53.64871025085449,53.712000022642314,0,43.92871343834494,0.2196435671917247,0.29755,18.6178135161314
200,40000,4,True,ppo,12.914888470425804,0.33740000799298286,4,22.36233301307349,0.11181166506536744,0.30115,2963.841067901805
200,40000,5,True,ppo,7.880955578077774,0.40689995512366295,5,140.17985703505067,0.7008992851752534,0.300725,2457.606562517524
200,40000,6,False,rrt_star,44.53134536743164,44.5979000069201,0,36.895019822626395,0.18447509911313198,0.298875,22.422580431922434
200,40000,7,True,ppo,11.924210947432483,0.355200027115643,5,116.20229709158846,0.5810114854579423,0.3025,2815.3151003967364
200,40000,8,True,ppo,8.756197409617743,0.2332000294700265,1,119.39922520966999,0.59699612604835,0.30055,4288.16412361788
200,40000,9,False,rrt_star,2000.1928806304932,2000.387999927625,0,116.67932088736131,0.5833966044368065,0.29775,0.4999030188324367
200,40000,10,False,rrt_star,45.07589340209961,45.1737999683246,0,155.3488910276339,0.7767444551381695,0.294875,22.136725285479407
200,40000,11,False,rrt_star,2001.551866531372,2001.8099999288097,0,106.16750141363688,0.5308375070681844,0.296925,0.4995479091599917
200,40000,12,True,ppo,10.846626523383632,1.9948999397456646,21,45.45214863582583,0.22726074317912914,0.300875,501.27827470258626
200,40000,13,False,ppo,12.989502328785234,0.5178999854251742,0,110.23463134124634,0.5511731567062317,0.3014,1930.8747405718534
200,40000,14,True,ppo,11.661617951050708,2.3447000421583652,21,60.021497919318605,0.300107489596593,0.30265,426.4937868468116
300,90000,0,False,ppo,14.641382704284961,0.804099952802062,0,108.24293251169954,0.36080977503899847,0.3020888888888889,1243.626487621696
300,90000,1,True,ppo,18.33040726776748,0.9890999644994736,1,228.84357276011826,0.7628119092003942,0.3005333333333333,1011.0201555876532
300,90000,2,False,rrt_star,168.5500144958496,168.8593999715522,0,196.31565934633045,0.6543855311544349,0.29864444444444443,5.922086660076196
300,90000,3,False,rrt_star,170.4549789428711,170.8006999688223,0,216.97982578327665,0.7232660859442555,0.2986111111111111,5.854776942849406
300,90000,4,False,ppo,7.361234911672773,1.5641000354662538,0,94.76471243090063,0.3158823747696688,0.3018111111111111,639.3452959048766
300,90000,5,True,ppo,5.607008060477268,1.3099000789225101,1,23.37587716989953,0.07791959056633176,0.3024222222222222,763.4170087405248
300,90000,6,False,ppo,14.651520888719368,1.16610003169626,0,149.63482689410463,0.49878275631368213,0.30117777777777777,857.559362677794
300,90000,7,True,ppo,14.080554831036972,1.2286999262869358,1,125.26328670105201,0.4175442890035067,0.30023333333333335,813.868364932637
300,90000,8,False,rrt_star,214.68496322631836,215.05520003847778,0,141.91877778749856,0.47306259262499517,0.2972444444444444,4.649968937375518
300,90000,9,True,ppo,12.36900468954415,0.8086999878287315,1,42.53701921274522,0.14179006404248407,0.3004888888888889,1236.5525102638958
300,90000,10,False,rrt_star,165.96055030822754,166.35029995813966,0,113.59127978762419,0.37863759929208063,0.2993222222222222,6.011410861607342
300,90000,11,True,ppo,12.86942130603062,0.9830999188125134,3,87.32011510511259,0.29106705035037533,0.30214444444444444,1017.1906037871514
300,90000,12,False,ppo,17.549779437957934,1.2261999072507024,0,147.784060281018,0.49261353427005994,0.3012111111111111,815.5277080734155
300,90000,13,False,rrt_star,184.2644214630127,184.54339995514601,0,213.62834733448844,0.7120944911149615,0.29965555555555556,5.418779540439018
300,90000,14,False,rrt_star,205.7805061340332,206.0836999444291,0,69.31857718672904,0.23106192395576347,0.29902222222222224,4.852397352481793
