density,actual_density,success,selected_planner,planning_time_ms,path_length,euclidean_distance,smoothness,energy_consumption,safety_clearance,length_optimality,composite_score,start_x,start_y,goal_x,goal_y
0.15,0.1484,True,rrt_star,7.246017456054687,15,57.57102517316463,0.8405166336148537,11.631298119992296,1.5218951416497462,0.6699819512061816,0.820486197827967,40.2369771107281,77.54945922348452,80.89866196757032,36.79347409133487
0.15,0.1484,True,rrt_star,25.501728057861328,8,33.268523588044395,0.865741856583539,5.74686448506023,1.1035533905932735,0.7843025776396377,0.7414162463559281,43.600049074837614,92.52420398004443,62.34607416438936,65.040004790871
0.15,0.1484,True,rrt_star,125.779390335083,12,59.293153598248914,0.8877148104983381,8.726960091452051,1.545266980572088,0.9534081808564364,0.9018921936048938,10.263252879549366,36.82495573016939,68.42995469990674,48.32768857793962
0.15,0.1484,True,rrt_star,1.2753009796142578,8,38.89692664253062,0.8350285212975637,5.969803691378659,1.9133919736706584,0.8925062300660412,0.9971449844211606,15.776799821196375,49.662083704434565,45.6876697238043,24.79622832192917
0.15,0.1484,True,rrt_star,0.9977817535400392,11,40.49729085627704,0.8499420497157901,7.869253874336674,1.6717318565984307,0.6809172882105187,0.8783757910010892,26.9172012698388,77.58428180116023,52.734435059696565,46.38330415401388
0.15,0.1484,True,rrt_star,10.29038429260254,11,41.69348768063491,0.8867729704434228,7.907692768415851,1.5409858745107867,0.7163412197198037,0.855322877853679,43.1948818096079,52.12874650378005,41.38098870872407,10.47473461064038
0.15,0.1484,True,rrt_star,11.977672576904297,10,20.418277336641864,0.8341222592488184,6.61866769608424,1.206449510224598,0.4122974162915316,0.6857390374111514,43.92629549506401,17.374607900974528,24.48858658622552,23.62612945746647
0.15,0.1484,True,rrt_star,125.24151802062988,16,75.76118374978518,0.9004975579737597,13.581686086049157,1.3209726821319658,0.7790627740768166,0.7943735426659855,10.42985730913129,30.737747201751464,64.26081842563522,84.04801439712533
0.15,0.1484,True,rrt_star,64.54992294311523,6,21.14527732136149,0.8915043828794378,3.7705084244292655,1.2761423749153968,0.7607813247402561,0.8102803888358794,60.56077115949551,81.94371328398068,74.26047073647418,65.83654144973818
0.15,0.1484,True,rrt_star,23.420333862304688,12,62.58949549664917,0.8671814934282527,9.988015980405232,1.2208567949894071,0.865006229131808,0.7788057177833467,81.18380360467336,80.71577454280364,23.673284676084062,56.01789691962638
